t	protein
9.850000000000001	1.1542721782960266
9.9	1.1473598356459078
9.950000000000001	1.1405935884985472
10.0	1.1339745962155612
10.05	1.1275039929272028
10.100000000000001	1.1211828873380345
10.15	1.115012362536958
10.200000000000001	1.108993475811632
10.25	1.1031272584673117
10.3	1.0974147156501393
10.350000000000001	1.0918568261749184
10.4	1.0864545423573992
10.450000000000001	1.0812087898511018
10.5	1.0761204674887133
10.55	1.0711904471280758
10.600000000000001	1.0664195735027984
10.65	1.0618086640775157
10.700000000000001	1.0573585089078215
10.75	1.0530698705048944
10.8	1.0489434837048464
10.850000000000001	1.0449800555428133
10.9	1.041180265131807
10.950000000000001	1.0375447635463528
11.0	1.0340741737109318
11.05	1.0307690902932456
11.100000000000001	1.0276300796023232
11.15	1.0246576794914874
11.200000000000001	1.0218523992661943
11.25	1.0192147195967696
11.3	1.0167450924360453
11.350000000000001	1.0144439409419221
11.4	1.0123116594048622
11.450000000000001	1.0103486131803296
11.5	1.0085551386261895
11.55	1.0069315430450736
11.600000000000001	1.0054781046317265
11.65	1.0041950724253383
11.700000000000001	1.003082666266872
11.75	1.0021410767613965
11.8	1.0013704652454263
11.850000000000001	1.000770963759277
11.9	1.0003426750244429
11.950000000000001	1.000085672425993
12.0	1.0
12.05	1.000085672425993
12.100000000000001	1.0003426750244429
12.15	1.000770963759277
12.200000000000001	1.0013704652454263
12.25	1.0021410767613965
12.3	1.003082666266872
12.350000000000001	1.0041950724253383
12.4	1.0054781046317267
12.450000000000001	1.0069315430450736
12.5	1.0085551386261895
12.55	1.0103486131803299
12.600000000000001	1.0123116594048622
12.65	1.0144439409419224
12.700000000000001	1.0167450924360455
12.75	1.0192147195967696
12.8	1.0218523992661943
12.850000000000001	1.0246576794914874
12.9	1.0276300796023232
12.950000000000001	1.0307690902932456
13.0	1.0340741737109318
13.05	1.0375447635463528
13.100000000000001	1.041180265131807
13.15	1.0449800555428133
13.200000000000001	1.0489434837048464
13.25	1.0530698705048942
13.3	1.0573585089078215
13.350000000000001	1.0618086640775157
13.4	1.0664195735027984
13.450000000000001	1.071190447128076
13.5	1.076120467488713
13.55	1.0812087898511016
13.600000000000001	1.0864545423573992
13.65	1.0918568261749186
13.700000000000001	1.0974147156501395
13.75	1.1031272584673117
13.8	1.1089934758116322
13.850000000000001	1.1150123625369583
13.9	1.1211828873380343
13.950000000000001	1.127503992927203
14.0	1.1339745962155612
14.05	1.1405935884985472
14.100000000000001	1.1473598356459078
14.15	1.1542721782960266
14.200000000000001	1.161329432054576
14.25	1.1685303876974547
14.3	1.1758738113779845
14.350000000000001	1.1833584448383212
14.4	1.1909830056250525
14.450000000000001	1.1987461873089393
14.5	1.2066466597087648
14.55	1.2146830691192552
